participant_id,block,trial,image_name,posX,posY,image_stem,base_name,set,category
p005,2,6,disgust_2.jpg,5,6,disgust_2,disgust,2,emotions
p005,2,6,fearful_1.jpg,10,5,fearful_1,fearful,1,emotions
p005,2,6,fearful_2.jpg,7,1,fearful_2,fearful,2,emotions
p005,2,6,happy_1.jpg,6,4,happy_1,happy,1,emotions
p005,2,6,happy_2.jpg,7,4,happy_2,happy,2,emotions
p005,2,6,sad_1.jpg,5,1,sad_1,sad,1,emotions
p005,2,6,sad_2.jpg,10,1,sad_2,sad,2,emotions
p005,2,6,surprise_1.jpg,2,3,surprise_1,surprise,1,emotions
p005,2,6,surprise_2.jpg,3,3,surprise_2,surprise,2,emotions
p006,1,1,acorn_1.jpg,6,3,acorn_1,acorn,1,plants
p006,1,1,apple_1.jpg,3,2,apple_1,apple,1,plants
p006,1,1,blueberry_1.jpg,4,3,blueberry_1,blueberry,1,plants
p006,1,1,broccoli_1.jpg,8,2,broccoli_1,broccoli,1,plants
p006,1,1,cabbage_1.jpg,4,2,cabbage_1,cabbage,1,plants
p006,1,1,cactus_1.jpg,7,3,cactus_1,cactus,1,plants
p006,1,1,cherry_1.jpg,3,3,cherry_1,cherry,1,plants
p006,1,1,flower_1.jpg,6,2,flower_1,flower,1,plants
p006,1,1,grass_1.jpg,3,5,grass_1,grass,1,plants
p006,1,1,leaf_1.jpg,8,3,leaf_1,leaf,1,plants
p006,1,1,peanut_1.jpg,7,2,peanut_1,peanut,1,plants
p006,1,1,tree_1.jpg,2,5,tree_1,tree,1,plants
p006,1,2,butterfly_2.jpg,6,4,butterfly_2,butterfly,2,animals
p006,1,2,dolphin_2.jpg,6,3,dolphin_2,dolphin,2,animals
p006,1,2,fish_2.jpg,6,2,fish_2,fish,2,animals
p006,1,2,fox_2.jpg,4,2,fox_2,fox,2,animals
p006,1,2,horse_2.jpg,7,3,horse_2,horse,2,animals
p006,1,2,ladybug_2.jpg,4,3,ladybug_2,ladybug,2,animals
p006,1,2,lion_2.jpg,4,4,lion_2,lion,2,animals
p006,1,2,peacock_2.jpg,3,2,peacock_2,peacock,2,animals
p006,1,2,pigeon_2.jpg,7,4,pigeon_2,pigeon,2,animals
p006,1,2,sheep_2.jpg,7,2,sheep_2,sheep,2,animals
p006,1,2,squirrel_2.jpg,3,3,squirrel_2,squirrel,2,animals
p006,1,2,wolf_2.jpg,3,4,wolf_2,wolf,2,animals
p006,1,3,angry_3.jpg,6,3,angry_3,angry,3,emotions
p006,1,3,angry_4.jpg,4,2,angry_4,angry,4,emotions
p006,1,3,disgust_3.jpg,6,6,disgust_3,disgust,3,emotions
p006,1,3,disgust_4.jpg,6,2,disgust_4,disgust,4,emotions
p006,1,3,fearful_3.jpg,4,3,fearful_3,fearful,3,emotions
p006,1,3,fearful_4.jpg,2,5,fearful_4,fearful,4,emotions
p006,1,3,happy_3.jpg,5,2,happy_3,happy,3,emotions
p006,1,3,happy_4.jpg,3,5,happy_4,happy,4,emotions
p006,1,3,sad_3.jpg,10,4,sad_3,sad,3,emotions
p006,1,3,sad_4.jpg,10,3,sad_4,sad,4,emotions
p006,1,3,surprise_3.jpg,2,1,surprise_3,surprise,3,emotions
p006,1,3,surprise_4.jpg,1,5,surprise_4,surprise,4,emotions
p006,2,4,acorn_2.jpg,5,4,acorn_2,acorn,2,plants
p006,2,4,apple_2.jpg,5,3,apple_2,apple,2,plants
p006,2,4,blueberry_2.jpg,5,5,blueberry_2,blueberry,2,plants
p006,2,4,broccoli_2.jpg,4,2,broccoli_2,broccoli,2,plants
p006,2,4,cabbage_2.jpg,4,3,cabbage_2,cabbage,2,plants
p006,2,4,cactus_2.jpg,6,3,cactus_2,cactus,2,plants
p006,2,4,cherry_2.jpg,6,2,cherry_2,cherry,2,plants
p006,2,4,flower_2.jpg,5,6,flower_2,flower,2,plants
p006,2,4,grass_2.jpg,4,6,grass_2,grass,2,plants
p006,2,4,leaf_2.jpg,3,6,leaf_2,leaf,2,plants
p006,2,4,peanut_2.jpg,5,2,peanut_2,peanut,2,plants
p006,2,4,tree_2.jpg,6,6,tree_2,tree,2,plants
p006,2,5,butterfly_1.jpg,7,4,butterfly_1,butterfly,1,animals
p006,2,5,dolphin_1.jpg,7,3,dolphin_1,dolphin,1,animals
p006,2,5,fish_1.jpg,4,5,fish_1,fish,1,animals
p006,2,5,fox_1.jpg,5,5,fox_1,fox,1,animals
p006,2,5,horse_1.jpg,7,5,horse_1,horse,1,animals
p006,2,5,ladybug_1.jpg,4,3,ladybug_1,ladybug,1,animals
p006,2,5,lion_1.jpg,10,5,lion_1,lion,1,animals
p006,2,5,peacock_1.jpg,6,5,peacock_1,peacock,1,animals
p006,2,5,pigeon_1.jpg,8,5,pigeon_1,pigeon,1,animals
p006,2,5,sheep_1.jpg,9,5,sheep_1,sheep,1,animals
p006,2,5,squirrel_1.jpg,4,4,squirrel_1,squirrel,1,animals
p006,2,5,wolf_1.jpg,4,6,wolf_1,wolf,1,animals
p006,2,6,angry_1.jpg,8,1,angry_1,angry,1,emotions
p006,2,6,angry_2.jpg,10,5,angry_2,angry,2,emotions
p006,2,6,disgust_1.jpg,6,4,disgust_1,disgust,1,emotions
p006,2,6,disgust_2.jpg,10,4,disgust_2,disgust,2,emotions
p006,2,6,fearful_1.jpg,4,4,fearful_1,fearful,1,emotions
p006,2,6,fearful_2.jpg,3,6,fearful_2,fearful,2,emotions
p006,2,6,happy_1.jpg,4,3,happy_1,happy,1,emotions
p006,2,6,happy_2.jpg,6,6,happy_2,happy,2,emotions
p006,2,6,sad_1.jpg,7,6,sad_1,sad,1,emotions
p006,2,6,sad_2.jpg,2,4,sad_2,sad,2,emotions
p006,2,6,surprise_1.jpg,2,5,surprise_1,surprise,1,emotions
p006,2,6,surprise_2.jpg,6,3,surprise_2,surprise,2,emotions
p007,1,1,angry_3.jpg,5,6,angry_3,angry,3,emotions
p007,1,1,angry_4.jpg,4,6,angry_4,angry,4,emotions
p007,1,1,disgust_3.jpg,9,4,disgust_3,disgust,3,emotions
p007,1,1,disgust_4.jpg,10,6,disgust_4,disgust,4,emotions
p007,1,1,fearful_3.jpg,7,5,fearful_3,fearful,3,emotions
p007,1,1,fearful_4.jpg,8,5,fearful_4,fearful,4,emotions
p007,1,1,happy_3.jpg,7,6,happy_3,happy,3,emotions
p007,1,1,happy_4.jpg,10,3,happy_4,happy,4,emotions
p007,1,1,sad_3.jpg,3,5,sad_3,sad,3,emotions
p007,1,1,sad_4.jpg,6,6,sad_4,sad,4,emotions
p007,1,1,surprise_3.jpg,9,6,surprise_3,surprise,3,emotions
p007,1,1,surprise_4.jpg,9,3,surprise_4,surprise,4,emotions
p007,1,2,acorn_2.jpg,7,3,acorn_2,acorn,2,plants
p007,1,2,apple_2.jpg,9,3,apple_2,apple,2,plants
p007,1,2,blueberry_2.jpg,6,6,blueberry_2,blueberry,2,plants
p007,1,2,broccoli_2.jpg,8,1,broccoli_2,broccoli,2,plants
p007,1,2,cabbage_2.jpg,4,6,cabbage_2,cabbage,2,plants
p007,1,2,cactus_2.jpg,3,6,cactus_2,cactus,2,plants
p007,1,2,cherry_2.jpg,10,4,cherry_2,cherry,2,plants
p007,1,2,flower_2.jpg,6,3,flower_2,flower,2,plants
p007,1,2,grass_2.jpg,8,6,grass_2,grass,2,plants
p007,1,2,leaf_2.jpg,7,6,leaf_2,leaf,2,plants
p007,1,2,peanut_2.jpg,6,4,peanut_2,peanut,2,plants
p007,1,2,tree_2.jpg,9,6,tree_2,tree,2,plants
p007,1,3,butterfly_2.jpg,5,6,butterfly_2,butterfly,2,animals
p007,1,3,dolphin_2.jpg,3,5,dolphin_2,dolphin,2,animals
