index	image	Word	uniqueID	display_label	recognizability_answer	recognizability_RT	recognizability_N-ratings	recognizability_N-correct	recognizability_N-most-common	recognizability_most-common-label	recognizability	recognizability_homonyms	recognizability_close	nameability_N-ratings	nameability_alternative-label	nameability_label1	nameability_label1_moreEdit	nameability_label2	nameability_most-frequent-rating	nameability_naming-consistency	nameability	nameability_SE	nameability_SE-naming-consistency	memorability_cr
10121	grass/grass_04s.jpg	grass	grass	grass	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	3721, 19652, 7528, 12338, 4446, 18341, 7862, 7023, 4069, 18174, 7544, 3060, 7171, 4592, 2857, 55083, 8561 45092, 2941,	19	19	19	grass	1.0	1.0	1.0	19.0	nan	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	nan	grass	1.0	1.0	0.0	0.0	0.8
10124	grass/grass_07s.jpg	grass	grass	grass	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	4947, 2015 3481, 5883, 28225, 3344, 2296, 10544, 8558, 6570, 4388, 3285, 8710, 4526, 2051, 4582, 2630,	17	17	17	grass	1.0	1.0	1.0	16.0	nan	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	nan	grass	1.0	1.0	0.0	0.0	0.8
10123	grass/grass_06s.jpg	grass	grass	grass	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	3686, 6909, 4183, 4490, 3675, 50377, 5573 5459, 5229, 23259, 23967, 6193, 6027, 5114, 8296, 3289,	16	16	16	grass	1.0	1.0	1.0	20.0	nan	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	nan	grass	1.0	1.0	0.0	0.0	0.775
10127	grass/grass_10s.jpg	grass	grass	grass	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	6986, 148563, 4848, 3007, 53097, 4598, 7606 19728 5980 3111, 5711, 3497 4311, 21080, 3513,	15	15	15	grass	1.0	1.0	1.0	19.0	nan	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	nan	grass	1.0	1.0	0.0	0.0	0.825
10126	grass/grass_09s.jpg	grass	grass	grass	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	7565, 4663, 8094, 2836, 5428, 4738, 5601, 20241 3403 5569, 3220, 3025,	12	12	12	grass	1.0	1.0	1.0	18.0	nan	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	nan	grass	1.0	1.0	0.0	0.0	0.717948718
10131	grass/grass_14s.jpg	grass	grass	grass	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	1989, 2201, 50686, 3199, 38622, 17426, 6673 3248, 8587, 4176, 7099, 7281,	12	12	12	grass	1.0	1.0	1.0	20.0	nan	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, weed	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, weed	nan	grass	0.95	0.95	0.048733972	0.048733972	0.717948718
10125	grass/grass_08s.jpg	grass	grass	grass	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	8352, 5477 4135, 3530, 3168 4495 5575, 5079, 6015, 2543, 12039, 3101, 5839, 2066, 3667,	15	15	15	grass	1.0	1.0	1.0	18.0	nan	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, plant, tree, weed	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, plant, tree, weed	grass blades	grass	0.833333333	0.833333333	0.087841046	0.087841046	0.720930233
26812	grass.jpg	grass	grass	grass	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	5536, 4417, 8760, 5349, 4275, 3828, 16839, 4625, 3198, 5424, 5882, 2639, 10918, 4444 2643, 3327, 4664, 3330,	18	18	18	grass	1.0	1.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10129	grass/grass_12s.jpg	grass	grass	grass	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, paddle, grass, grass, grass, grass, grass, grass, grass, grass	2965, 2962, 6354 16876, 35652, 11304, 4511, 76087, 12690, 6206, 5039, 35815, 5836, 7506, 3172, 3084, 5049, 7390, 5458, 5328,	20	19	19	grass	0.95	0.95	0.95	15.0	nan	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	nan	grass	1.0	1.0	0.0	0.0	0.853658537
10128	grass/grass_11s.jpg	grass	grass	grass	grass, grass, grass, grass, grass, rickshaw, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	7324, 7122, 5559 6432, 2970 5559 8594, 3208, 2494, 4446, 13114, 8678 3640, 3777, 5624, 3440, 19182,	17	16	16	grass	0.941176471	0.941176471	0.941176471	18.0	nan	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	nan	grass	1.0	1.0	0.0	0.0	0.727272727
